캠페인 이름,광고 이름,광고 ID,일별,나이,비용,노출수,클릭수(목적지),CTR(목적지),전환수,전환당 비용,전환율(CVR),랜딩 페이지 조회(웹사이트),도달,통화
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225,1861278082187298,2026-04-08,AGE_45_54,15452,906,3,0.33,0,0,0.0,0,856,KRW
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225,1861278082187298,2026-04-08,AGE_55_100,14096,848,5,0.59,0,0,0.0,0,789,KRW
2604_다이트_전환캠페인,(재)_대구_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225,1861278082187298,2026-04-08,NONE,18,3,0,0.0,0,0,0.0,0,0,KRW
2603_다이트_전환캠페인,(재)_대구_진료셀프캠_주사형비만치료제 고민끝에 50대부부 -32kg_260225,1860546064808049,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,"(재)_대전_인플방문후기_건강한다이어트(대전, 박고경)_260406",1861709876075633,2026-04-08,AGE_35_44,1295,237,1,0.42,0,0,0.0,0,225,KRW
2604_다이트_전환캠페인,"(재)_대전_인플방문후기_건강한다이어트(대전, 박고경)_260406",1861709876075633,2026-04-08,AGE_45_54,1551,226,1,0.44,0,0,0.0,0,214,KRW
2604_다이트_전환캠페인,"(재)_대전_인플방문후기_건강한다이어트(대전, 박고경)_260406",1861709876075633,2026-04-08,AGE_55_100,1108,143,0,0.0,0,0,0.0,0,140,KRW
2604_다이트_전환캠페인,"(재)_대전_인플방문후기_건강한다이어트(대전, 박고경)_260406",1861709876075633,2026-04-08,NONE,9,3,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(재)_대전_인플방문후기_맘껏먹는 다이어트 한달후기_260306,1861708302605361,2026-04-08,AGE_35_44,1935,143,0,0.0,0,0,0.0,0,132,KRW
2604_다이트_전환캠페인,(재)_대전_인플방문후기_맘껏먹는 다이어트 한달후기_260306,1861708302605361,2026-04-08,AGE_45_54,2768,160,0,0.0,0,0,0.0,0,150,KRW
2604_다이트_전환캠페인,(재)_대전_인플방문후기_맘껏먹는 다이어트 한달후기_260306,1861708302605361,2026-04-08,AGE_55_100,1069,77,1,1.3,0,0,0.0,0,69,KRW
2604_다이트_전환캠페인,(재)_대전_인플방문후기_맘껏먹는 다이어트 한달후기_260306,1861708302605361,2026-04-08,NONE,16,3,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(재)_대전_인플방문후기_먹으면서(대읽남)_260306,1861710694184002,2026-04-08,AGE_35_44,383,39,0,0.0,0,0,0.0,0,39,KRW
2604_다이트_전환캠페인,(재)_대전_인플방문후기_먹으면서(대읽남)_260306,1861710694184002,2026-04-08,AGE_45_54,237,30,0,0.0,0,0,0.0,0,29,KRW
2604_다이트_전환캠페인,(재)_대전_인플방문후기_먹으면서(대읽남)_260306,1861710694184002,2026-04-08,AGE_55_100,412,27,0,0.0,0,0,0.0,0,27,KRW
2604_다이트_전환캠페인,(재)_대전_인플방문후기_먹으면서(대읽남)_260306,1861710694184002,2026-04-08,NONE,0,0,0,0.0,0,0,0.0,0,0,KRW
2604_다이트_전환캠페인,(재)_대전_진료셀프캠_다이어트의적 밥빵면_260407,1861776478109986,2026-04-08,AGE_35_44,980,155,0,0.0,0,0,0.0,0,146,KRW
2604_다이트_전환캠페인,(재)_대전_진료셀프캠_다이어트의적 밥빵면_260407,1861776478109986,2026-04-08,AGE_45_54,1185,201,1,0.5,0,0,0.0,0,191,KRW
2604_다이트_전환캠페인,(재)_대전_진료셀프캠_다이어트의적 밥빵면_260407,1861776478109986,2026-04-08,AGE_55_100,960,176,4,2.27,0,0,0.0,0,167,KRW
